CodEstacao,Municipio,UF,TipoEstacao,Situacao,Latitude,Longitude,AltitudeM,DataInicioOperacao,DataFimOperacao
A748,BARRETOS,SP,Automatica,Operante,-20.55916666,-48.54499999,534.36,2010-06-18T21:00:00.000-03:00,
A755,BARUERI,SP,Automatica,Operante,-23.52388888,-46.86944443,776.5,2011-03-28T21:00:00.000-03:00,
A705,BAURU,SP,Automatica,Operante,-22.35805555,-49.02888888,636.17,2001-08-29T21:00:00.000-03:00,
A764,BEBEDOURO,SP,Automatica,Operante,-20.94805555,-48.47138888,542.0,2016-10-26T21:00:00.000-03:00,
A765,BERTIOGA,SP,Automatica,Operante,-23.84472221,-46.14333333,5.0,2017-01-31T21:00:00.000-03:00,
A744,BRAGANCA PAULISTA,SP,Automatica,Operante,-22.94916666,-46.5261111,891.0,2017-12-19T21:00:00.000-03:00,
A769,CACHOEIRA PAULISTA,SP,Automatica,Operante,-22.68888888,-45.00555555,586.0,2017-10-19T21:00:00.000-03:00,
A706,CAMPOS DO JORDAO,SP,Automatica,Operante,-22.75027777,-45.60388888,1662.95,2002-03-12T21:00:00.000-03:00,
A738,CASA BRANCA,SP,Automatica,Operante,-21.78055554,-47.07527777,734.15,2007-06-24T21:00:00.000-03:00,
A762,DRACENA,SP,Automatica,Pane,-21.45777777,-51.55222222,383.0,2016-11-02T21:00:00.000-03:00,
83630,FRANCA,SP,Convencional,Operante,-20.58444444,-47.38249999,1003.55,1910-12-31T21:25:56.000-02:34,
A708,FRANCA,SP,Automatica,Operante,-20.58444444,-47.38249999,1002.74,2002-12-11T22:00:00.000-02:00,
A737,IBITINGA,SP,Automatica,Operante,-21.85555555,-48.79972221,496.75,2007-11-08T21:00:00.000-03:00,
A712,IGUAPE,SP,Automatica,Operante,-24.67166666,-47.54583333,2.7,2006-07-19T21:00:00.000-03:00,
A713,IPERO,SP,Automatica,Operante,-23.4261111,-47.58555555,609.33,2006-08-21T21:00:00.000-03:00,
A714,ITAPEVA,SP,Automatica,Operante,-23.98194443,-48.88583333,743.33,2006-07-24T21:00:00.000-03:00,
A739,ITAPIRA,SP,Automatica,Operante,-22.415,-46.80527777,634.89,2007-11-04T21:00:00.000-03:00,
A753,ITUVERAVA,SP,Automatica,Operante,-20.35972222,-47.77527777,610.58,2008-07-16T21:00:00.000-03:00,
A733,JALES,SP,Automatica,Operante,-20.165,-50.59499999,460.44,2007-08-21T21:00:00.000-03:00,
A735,JOSE BONIFACIO,SP,Automatica,Operante,-21.08555555,-49.92027777,408.35,2007-09-02T21:00:00.000-03:00,
A727,LINS,SP,Automatica,Pane,-21.66611111,-49.73472221,460.65,2006-09-19T21:00:00.000-03:00,
A763,MARILIA,SP,Automatica,Operante,-22.23527777,-49.965,660.0,2017-05-14T21:00:00.000-03:00,
A716,OURINHOS,SP,Automatica,Pane,-23.00055555,-49.84333333,500.0,2006-08-28T21:00:00.000-03:00,
A726,PIRACICABA,SP,Automatica,Operante,-22.70305555,-47.62333332,566.46,2006-09-25T21:00:00.000-03:00,
A747,PRADOPOLIS,SP,Automatica,Operante,-21.33833333,-48.11388888,544.0,2008-04-21T21:00:00.000-03:00,
A707,PRESIDENTE PRUDENTE,SP,Automatica,Pane,-22.11999999,-51.40861111,431.92,2003-02-03T22:00:00.000-02:00,
A718,RANCHARIA,SP,Automatica,Operante,-22.37277777,-50.97472221,398.75,2006-08-31T21:00:00.000-03:00,
A766,REGISTRO,SP,Automatica,Operante,-24.53305554,-47.86416666,35.0,2017-02-08T21:00:00.000-03:00,
A711,SAO CARLOS,SP,Automatica,Operante,-21.98027777,-47.88388888,859.29,2006-09-03T21:00:00.000-03:00,
A740,SAO LUIZ DO PARAITINGA,SP,Automatica,Operante,-23.22833332,-45.41694443,874.0,2007-10-31T21:00:00.000-03:00,
A715,SAO MIGUEL ARCANJO,SP,Automatica,Operante,-23.89083333,-47.99916666,710.0,2006-08-14T21:00:00.000-03:00,
A771,SAO PAULO - INTERLAGOS,SP,Automatica,Operante,-23.72444443,-46.67749999,771.0,2018-03-13T21:00:00.000-03:00,
A701,SAO PAULO - MIRANTE,SP,Automatica,Operante,-23.4962888,-46.6200666,785.64,2006-07-24T21:00:00.000-03:00,
83781,SAO PAULO(MIR.de SANTANA),SP,Convencional,Operante,-23.49638888,-46.61999999,785.16,1945-11-30T21:00:00.000-03:00,
A770,SAO SIMAO,SP,Automatica,Operante,-21.46111111,-47.57944443,620.0,2019-07-02T21:00:00.000-03:00,
A728,TAUBATE,SP,Automatica,Operante,-23.04166666,-45.52083332,582.26,2006-12-19T21:00:00.000-03:00,
A768,TUPA,SP,Automatica,Operante,-21.92722221,-50.49027777,498.0,2017-05-11T21:00:00.000-03:00,
A734,VALPARAISO,SP,Automatica,Pane,-21.31916666,-50.93027777,381.9,2007-08-29T21:00:00.000-03:00,
A053,ALMAS,TO,Automatica,Operante,-11.28416666,-47.21222222,503.0,2016-03-31T21:00:00.000-03:00,
A054,ARAGUACU,TO,Automatica,Operante,-12.59222221,-49.5286111,231.0,2015-08-18T21:00:00.000-03:00,
82659,ARAGUAINA,TO,Convencional,Operante,-7.10388888,-48.20138888,231.85,1984-08-20T21:00:00.000-03:00,
A021,ARAGUAINA,TO,Automatica,Operante,-7.10388888,-48.20111111,230.76,2007-01-25T21:00:00.000-03:00,
A044,ARAGUATINS,TO,Automatica,Operante,-5.6436111,-48.11194444,130.71,2009-03-11T21:00:00.000-03:00,
A043,CAMPOS LINDOS,TO,Automatica,Pane,-8.15472222,-46.63944444,426.56,2012-10-28T21:00:00.000-03:00,
A049,COLINAS DO TOCANTINS,TO,Automatica,Operante,-8.09277777,-48.4786111,200.0,2016-11-10T21:00:00.000-03:00,
A038,DIANOPOLIS,TO,Automatica,Operante,-11.59444444,-46.84722221,727.87,2008-08-29T21:00:00.000-03:00,
A039,FORMOSO DO ARAGUAIA,TO,Automatica,Operante,-11.88749999,-49.60833333,215.2,2008-04-26T21:00:00.000-03:00,
A019,GURUPI,TO,Automatica,Operante,-11.74499999,-49.05166666,274.0,2006-12-19T21:00:00.000-03:00,
A055,LAGOA DA CONFUSAO,TO,Automatica,Operante,-10.828286,-49.847882,178.0,2016-11-14T21:00:00.000-03:00,
A041,MARIANOPOLIS DO TO,TO,Automatica,Operante,-9.57638888,-49.72333332,186.69,2012-11-23T21:00:00.000-03:00,
A040,MATEIROS,TO,Automatica,Operante,-10.43444444,-45.92194443,791.0,2012-10-24T21:00:00.000-03:00,
83033,PALMAS,TO,Convencional,Operante,-10.14777777,-48.31444444,267.0,1993-10-07T21:00:00.000-03:00,
A009,PALMAS,TO,Automatica,Operante,-10.14777777,-48.31444444,267.0,2004-12-16T21:00:00.000-03:00,
A010,PARANA,TO,Automatica,Operante,-12.615,-47.87194443,284.96,2005-03-03T21:00:00.000-03:00,
A020,PEDRO AFONSO,TO,Automatica,Operante,-8.9686111,-48.17722221,189.71,2007-01-22T21:00:00.000-03:00,
83228,PEIXE,TO,Convencional,Operante,-12.01527777,-48.54499999,252.24,1975-04-30T21:00:00.000-03:00,
A018,PEIXE,TO,Automatica,Operante,-12.01527777,-48.54444444,250.87,2006-11-30T21:00:00.000-03:00,
A051,PIUM,TO,Automatica,Pane,-10.47694443,-49.62944443,161.0,2016-04-05T21:00:00.000-03:00,
83064,PORTO NACIONAL,TO,Convencional,Operante,-10.71083333,-48.40638888,243.28,1914-12-31T21:00:00.000-03:00,
A050,RIO SONO,TO,Automatica,Operante,-9.79333333,-47.13277777,291.0,2016-08-02T21:00:00.000-03:00,
A048,SANTA FE DO ARAGUAIA,TO,Automatica,Pane,-7.12416666,-48.78138888,171.0,2016-07-29T21:00:00.000-03:00,
A052,SANTA ROSA DO TOCANTINS,TO,Automatica,Operante,-11.42888888,-48.18499999,306.0,2015-08-13T21:00:00.000-03:00,
83235,TAGUATINGA,TO,Convencional,Operante,-12.40222222,-46.43833333,604.88,1915-12-21T21:00:00.000-03:00,
