CodEstacao,Municipio,UF,TipoEstacao,Situacao,Latitude,Longitude,AltitudeM,DataInicioOperacao,DataFimOperacao
82590,APODI,RN,Convencional,Operante,-5.62666666,-37.815,131.37,1962-12-17T21:00:00.000-03:00,
A340,APODI,RN,Automatica,Operante,-5.62666666,-37.815,131.41,2007-11-13T21:00:00.000-03:00,
A316,CAICO,RN,Automatica,Operante,-6.46749999,-37.08499999,171.26,2007-01-06T21:00:00.000-03:00,
A344,CALCANHAR,RN,Automatica,Pane,-5.16,-35.48749999,9.82,2008-05-07T21:00:00.000-03:00,
82596,CEARA MIRIM,RN,Convencional,Operante,-5.65333333,-35.42583332,62.2,1967-05-31T21:00:00.000-03:00,
A372,IPANGUACU,RN,Automatica,Operante,-5.53499999,-36.87222221,19.0,2017-11-07T21:00:00.000-03:00,
A317,MACAU,RN,Automatica,Pane,-5.15111111,-36.57305554,17.37,2007-01-05T21:00:00.000-03:00,
A318,MOSSORO,RN,Automatica,Operante,-4.90416666,-37.36694443,29.44,2007-05-21T21:00:00.000-03:00,
82598,NATAL,RN,Convencional,Operante,-5.83722221,-35.20777777,47.68,1910-12-31T21:25:56.000-02:34,
A304,NATAL,RN,Automatica,Operante,-5.83722221,-35.20805555,47.46,2003-02-23T21:00:00.000-03:00,
A367,SANTA CRUZ,RN,Automatica,Operante,-6.22805554,-36.02666666,227.49,2010-08-16T21:00:00.000-03:00,
82690,SERIDO (CAICO),RN,Convencional,Operante,-6.46749999,-37.08499999,171.26,1995-03-13T21:00:00.000-03:00,
A940,ARIQUEMES,RO,Automatica,Pane,-9.94888888,-62.96194444,128.44,2008-07-17T21:00:00.000-03:00,
A939,CACOAL,RO,Automatica,Operante,-11.44583333,-61.43416666,183.53,2008-07-19T21:00:00.000-03:00,
A925,PORTO VELHO,RO,Automatica,Operante,-8.7936111,-63.84583333,86.7,2007-07-10T21:00:00.000-03:00,
A938,VILHENA,RO,Automatica,Pane,-12.73499999,-60.15777777,583.3,2008-08-25T21:00:00.000-03:00,
A135,BOA VISTA,RR,Automatica,Pane,2.81694443,-60.69083333,82.35,2010-08-25T21:00:00.000-03:00,
82042,CARACARAI,RR,Convencional,Operante,1.83249999,-61.12083332,51.99,1970-01-10T21:00:00.000-03:00,
B828,ACEGUA,RS,Automatica,Pane,-31.87472221,-54.11972221,271.0,2025-09-16T21:00:00.000-03:00,
B843,AJURICABA,RS,Automatica,Operante,-28.22083332,-53.6736111,416.0,2025-12-01T21:00:00.000-03:00,
A826,ALEGRETE,RS,Automatica,Operante,-29.70916666,-55.52555554,121.0,2006-09-27T21:00:00.000-03:00,
